,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,treatment,y,true_ite
0,-5.218424,-5.4521704,3.2312117,-0.8866748,-4.2205677,-1.7968016,1.5073056,-0.46960464,0.13372463,3.692822,0.0,0.0,0.49999386
1,4.4762506,-6.019599,-6.206274,5.9101744,3.1405032,-2.0258398,5.190689,2.209323,6.4223013,3.1464782,0.0,0.0,0.95245075
2,2.7313638,3.7753797,-1.6224475,8.20793,-0.26538324,-2.1733167,9.189732,-1.9753873,4.416162,6.037565,1.0,1.0,0.95245075
3,-1.9900999,-1.5461242,5.218794,5.4904346,-0.42878777,0.077603936,-2.2740524,-1.2252616,3.4883094,-0.62940377,0.0,0.0,0.49999386
4,-5.5893335,1.4617788,-1.6727691,0.44257665,1.4546725,-0.5870296,-5.7330956,-3.3063922,5.3124385,8.170349,1.0,1.0,0.95245075
5,-0.5980368,-5.3331323,3.4081054,0.10059053,0.21498285,0.4696297,-1.8108597,4.214667,-1.0545385,-1.0247661,0.0,0.0,0.49999386
6,-2.2541883,2.6819592,-1.7076037,7.0272684,1.1212863,-1.5086124,-6.1502795,-1.4646937,-1.749566,-5.758871,1.0,1.0,0.49999386
7,0.489659,-7.6907663,6.867055,-1.647007,1.0730469,0.47346485,2.200474,2.5842059,-2.6514614,3.457705,1.0,1.0,0.95245075
8,7.4909325,0.2908833,2.8826325,-3.2431927,-2.1370256,-3.937636,0.81987405,-4.9663296,1.1082468,0.86462367,0.0,0.0,0.49999386
9,-3.1602378,-1.8529339,4.747649,-0.6503959,-2.4476337,5.7145147,5.631533,-2.1284657,-6.2076187,4.8623357,0.0,0.0,0.95245075
10,1.695427,3.0575595,6.4421515,4.801466,0.6028198,4.2147584,-6.0074744,0.8963826,3.3134398,2.730754,1.0,1.0,0.95245075
11,-2.8753047,-1.6642051,-3.402063,-10.287618,2.5728517,-2.010963,-5.936293,1.3976071,7.837372,-7.31744,1.0,1.0,0.95245075
12,6.7915306,-0.48150456,-3.2756262,-0.86619854,-1.012506,-1.0579829,3.4169924,-2.6976588,-4.8088202,5.2176824,1.0,0.0,0.95245075
13,-3.7130294,-5.4744816,-7.386157,5.9454985,5.8336096,-7.6549196,-2.2472444,-6.518081,2.7904158,-1.3905244,1.0,1.0,0.95245075
14,-1.8440319,-0.4574394,3.144123,-0.82008165,3.4534185,1.8463122,0.8287488,2.6119478,2.5555809,5.0142217,0.0,0.0,0.49999386
15,8.096359,4.458577,0.009378552,1.4157957,-0.8230238,0.7836492,-8.800931,3.4372933,14.915052,1.1997631,0.0,0.0,0.95245075
16,0.19627123,3.457891,-3.5045815,-0.5800797,2.7106879,5.363166,-4.7443523,1.4222963,-2.0296924,-0.38334084,0.0,0.0,0.49999386
17,4.567298,0.26002696,1.9891509,0.65108436,-1.4445565,0.6208438,1.8575789,-4.456193,-1.0295281,3.8480296,0.0,0.0,0.49999386
18,7.772457,-0.91165304,1.1059679,1.1002814,-4.9409785,6.4383664,-1.1548316,-3.1511865,-1.9279437,-5.1928945,0.0,0.0,0.95245075
19,-2.3647366,0.9765291,2.4237628,-1.4981468,0.07741211,-4.0951056,3.1408086,-2.8345757,-4.2162848,2.9875522,0.0,0.0,0.49999386
20,-6.213234,11.127966,0.6687144,-5.2145157,-4.697447,0.5154757,6.328252,-5.1643496,12.3477335,15.564722,1.0,1.0,0.95245075
21,-1.0052769,0.160719,2.948546,-5.9736385,1.2096672,0.6118028,-5.759352,-0.5136453,-0.9437463,2.0168848,0.0,0.0,0.49999386
22,2.4674568,1.9178171,2.9233856,1.4016457,-2.7081418,-4.596261,-1.7622882,-0.27336505,3.2423587,-0.14280236,0.0,0.0,0.49999386
23,5.430651,-2.6047451,0.04168132,2.1410654,-1.9450067,-3.5164356,-1.6584216,-1.827817,1.11412,-0.7357147,1.0,0.0,0.49999386
24,7.9503264,3.1241083,-4.552091,-5.0542316,-4.2715807,1.1691055,2.6339197,-6.2919474,1.2597456,-5.1984873,0.0,0.0,0.95245075
25,-0.12790334,2.0708752,2.5025904,-4.918994,-2.332903,1.3241607,2.9427264,-0.073037565,3.8397524,-1.5370191,0.0,0.0,0.49999386
